cgpa,clarity,workload,strictness,fairness,historical_grade
9.35,3.4,3.03,3.0,3.53,10
8.06,3.4,3.03,3.0,3.53,8
5.84,3.4,3.03,3.0,3.53,5
8.7,3.4,3.03,3.0,3.53,9
6.77,3.4,3.03,3.0,3.53,8
7.28,3.4,3.03,3.0,3.53,7
7.01,3.4,3.03,3.0,3.53,7
8.49,3.4,3.03,3.0,3.53,10
9.18,3.4,3.03,3.0,3.53,9
7.39,3.4,3.03,3.0,3.53,8
7.18,3.4,3.03,3.0,3.53,7
7.83,3.4,3.03,3.0,3.53,8
6.45,3.4,3.03,3.0,3.53,6
7.49,3.4,3.03,3.0,3.53,9
7.68,3.4,3.03,3.0,3.53,7
6.92,3.4,3.03,3.0,3.53,7
7.56,3.4,3.03,3.0,3.53,9
8.64,3.4,3.03,3.0,3.53,8
7.93,3.4,3.03,3.0,3.53,9
7.71,3.4,3.03,3.0,3.53,8
7.03,3.4,3.03,3.0,3.53,7
6.68,3.4,3.03,3.0,3.53,7
8.0,3.4,3.03,3.0,3.53,8
7.99,3.4,3.03,3.0,3.53,8
6.98,3.4,3.03,3.0,3.53,7
7.74,3.4,3.03,3.0,3.53,9
7.35,3.4,3.03,3.0,3.53,8
5.15,3.4,3.03,3.0,3.53,5
6.44,3.4,3.03,3.0,3.53,6
7.34,3.4,3.03,3.0,3.53,8
8.23,3.4,3.03,3.0,3.53,9
7.84,3.4,3.03,3.0,3.53,8
7.08,3.4,3.03,3.0,3.53,7
7.78,3.4,3.03,3.0,3.53,7
8.31,3.4,3.03,3.0,3.53,9
7.76,3.4,3.03,3.0,3.53,8
6.45,3.4,3.03,3.0,3.53,8
7.19,3.4,3.03,3.0,3.53,8
8.38,3.4,3.03,3.0,3.53,9
7.88,3.4,3.03,3.0,3.53,8
7.38,3.4,3.03,3.0,3.53,8
6.52,3.4,3.03,3.0,3.53,6
6.4,3.4,3.03,3.0,3.53,7
7.71,3.4,3.03,3.0,3.53,8
5.71,3.4,3.03,3.0,3.53,6
7.56,3.4,3.03,3.0,3.53,7
7.32,3.4,3.03,3.0,3.53,8
8.29,3.4,3.03,3.0,3.53,9
8.38,3.4,3.03,3.0,3.53,8
8.72,3.4,3.03,3.0,3.53,10
6.81,3.4,3.03,3.0,3.53,8
7.09,3.4,3.03,3.0,3.53,7
7.42,3.4,3.03,3.0,3.53,7
6.85,3.4,3.03,3.0,3.53,7
8.06,3.4,3.03,3.0,3.53,8
7.89,3.4,3.03,3.0,3.53,9
8.89,3.4,3.03,3.0,3.53,9
7.48,3.4,3.03,3.0,3.53,8
8.82,3.4,3.03,3.0,3.53,9
7.1,3.0,1.99,2.0,4.03,7
7.26,3.0,1.99,2.0,4.03,8
8.03,3.0,1.99,2.0,4.03,10
7.37,3.0,1.99,2.0,4.03,8
8.9,3.0,1.99,2.0,4.03,10
7.03,3.0,1.99,2.0,4.03,8
7.08,3.0,1.99,2.0,4.03,8
6.02,3.0,1.99,2.0,4.03,6
6.53,3.0,1.99,2.0,4.03,8
7.83,3.0,1.99,2.0,4.03,9
6.54,3.0,1.99,2.0,4.03,7
8.21,3.0,1.99,2.0,4.03,9
6.99,3.0,1.99,2.0,4.03,8
7.36,3.0,1.99,2.0,4.03,9
6.63,3.0,1.99,2.0,4.03,7
8.05,3.0,1.99,2.0,4.03,8
6.76,3.0,1.99,2.0,4.03,8
7.49,3.0,1.99,2.0,4.03,8
6.69,3.0,1.99,2.0,4.03,8
7.59,3.0,1.99,2.0,4.03,9
7.72,3.0,1.99,2.0,4.03,9
8.46,3.0,1.99,2.0,4.03,10
7.34,3.0,1.99,2.0,4.03,8
7.99,3.0,1.99,2.0,4.03,9
6.23,3.0,1.99,2.0,4.03,7
8.14,3.0,1.99,2.0,4.03,10
6.36,3.0,1.99,2.0,4.03,7
9.71,3.0,1.99,2.0,4.03,10
6.74,3.0,1.99,2.0,4.03,8
7.34,3.0,1.99,2.0,4.03,8
6.04,3.0,1.99,2.0,4.03,7
7.8,3.0,1.99,2.0,4.03,9
5.96,3.0,1.99,2.0,4.03,7
6.66,3.0,1.99,2.0,4.03,8
8.64,3.0,1.99,2.0,4.03,10
5.78,3.0,1.99,2.0,4.03,6
8.13,3.0,1.99,2.0,4.03,10
7.6,3.0,1.99,2.0,4.03,9
8.75,3.0,1.99,2.0,4.03,10
5.59,3.0,1.99,2.0,4.03,6
8.6,3.0,1.99,2.0,4.03,9
9.23,3.0,1.99,2.0,4.03,10
7.83,3.0,1.99,2.0,4.03,9
8.05,3.0,1.99,2.0,4.03,10
8.0,3.0,1.99,2.0,4.03,9
7.02,3.0,1.99,2.0,4.03,8
8.32,3.0,1.99,2.0,4.03,10
5.73,3.0,1.99,2.0,4.03,6
8.07,3.0,1.99,2.0,4.03,10
6.66,3.0,1.99,2.0,4.03,7
8.22,3.0,1.99,2.0,4.03,9
6.99,3.0,1.99,2.0,4.03,8
7.59,3.0,1.99,2.0,4.03,9
6.84,3.0,1.99,2.0,4.03,8
6.28,3.0,1.99,2.0,4.03,8
9.37,3.0,1.99,2.0,4.03,10
8.55,3.0,1.99,2.0,4.03,10
7.04,3.0,1.99,2.0,4.03,9
5.88,3.0,1.99,2.0,4.03,7
8.28,3.0,1.99,2.0,4.03,10
6.79,3.0,1.99,2.0,4.03,8
7.48,3.0,1.99,2.0,4.03,8
7.63,3.0,1.99,2.0,4.03,8
7.39,3.0,1.99,2.0,4.03,9
6.54,3.0,1.99,2.0,4.03,6
7.0,3.0,1.99,2.0,4.03,9
7.96,3.0,1.99,2.0,4.03,8
6.9,3.0,1.99,2.0,4.03,8
6.67,3.0,1.99,2.0,4.03,7
6.33,3.0,1.99,2.0,4.03,7
6.9,3.0,1.99,2.0,4.03,7
7.83,3.0,1.99,2.0,4.03,8
9.18,3.0,1.99,2.0,4.03,10
8.02,3.0,1.99,2.0,4.03,9
5.76,3.0,1.99,2.0,4.03,6
6.87,3.0,1.99,2.0,4.03,8
8.44,3.0,1.99,2.0,4.03,10
8.23,3.0,1.99,2.0,4.03,9
8.25,3.47,3.04,3.0,3.56,8
9.07,3.47,3.04,3.0,3.56,9
6.71,3.47,3.04,3.0,3.56,7
7.19,3.47,3.04,3.0,3.56,8
5.79,3.47,3.04,3.0,3.56,6
6.31,3.47,3.04,3.0,3.56,7
7.52,3.47,3.04,3.0,3.56,8
6.27,3.47,3.04,3.0,3.56,7
6.57,3.47,3.04,3.0,3.56,7
7.17,3.47,3.04,3.0,3.56,6
7.6,3.47,3.04,3.0,3.56,8
7.52,3.47,3.04,3.0,3.56,8
5.76,3.47,3.04,3.0,3.56,6
7.01,3.47,3.04,3.0,3.56,8
8.21,3.47,3.04,3.0,3.56,9
6.59,3.47,3.04,3.0,3.56,7
7.13,3.47,3.04,3.0,3.56,8
7.56,3.47,3.04,3.0,3.56,8
7.13,3.47,3.04,3.0,3.56,7
6.43,3.47,3.04,3.0,3.56,6
7.63,3.47,3.04,3.0,3.56,8
7.44,3.47,3.04,3.0,3.56,7
7.26,3.47,3.04,3.0,3.56,7
7.24,3.47,3.04,3.0,3.56,7
7.87,3.47,3.04,3.0,3.56,8
7.12,3.47,3.04,3.0,3.56,8
9.04,3.47,3.04,3.0,3.56,10
6.98,3.47,3.04,3.0,3.56,7
7.67,3.47,3.04,3.0,3.56,8
7.26,3.47,3.04,3.0,3.56,8
7.58,3.47,3.04,3.0,3.56,7
7.89,3.47,3.04,3.0,3.56,8
8.9,3.47,3.04,3.0,3.56,9
6.23,3.47,3.04,3.0,3.56,6
6.76,3.47,3.04,3.0,3.56,7
6.72,3.47,3.04,3.0,3.56,6
9.2,3.47,3.04,3.0,3.56,10
7.58,3.47,3.04,3.0,3.56,8
5.56,3.47,3.04,3.0,3.56,6
8.14,3.47,3.04,3.0,3.56,8
7.4,3.47,3.04,3.0,3.56,8
8.38,3.47,3.04,3.0,3.56,9
8.33,3.47,3.04,3.0,3.56,9
7.95,3.47,3.04,3.0,3.56,9
8.72,3.47,3.04,3.0,3.56,9
7.34,3.47,3.04,3.0,3.56,9
6.55,3.47,3.04,3.0,3.56,7
8.02,3.47,3.04,3.0,3.56,8
6.87,3.47,3.04,3.0,3.56,7
8.61,3.47,3.04,3.0,3.56,10
7.21,3.47,3.04,3.0,3.56,7
7.67,3.47,3.04,3.0,3.56,8
5.24,3.47,3.04,3.0,3.56,5
7.04,3.47,3.04,3.0,3.56,7
6.44,3.47,3.04,3.0,3.56,6
8.12,3.47,3.04,3.0,3.56,8
5.4,3.47,3.04,3.0,3.56,6
8.39,3.47,3.04,3.0,3.56,8
7.75,3.47,3.04,3.0,3.56,8
6.71,3.47,3.04,3.0,3.56,8
7.65,3.47,3.04,3.0,3.56,8
7.73,3.47,3.04,3.0,3.56,8
8.04,3.47,3.04,3.0,3.56,8
8.24,3.47,3.04,3.0,3.56,9
5.83,3.47,3.04,3.0,3.56,6
7.15,3.47,3.04,3.0,3.56,7
7.0,3.47,3.04,3.0,3.56,7
8.72,3.47,3.04,3.0,3.56,10
6.92,3.47,3.04,3.0,3.56,8
7.45,3.47,3.04,3.0,3.56,8
8.55,3.47,3.04,3.0,3.56,8
8.0,3.47,3.04,3.0,3.56,8
8.26,3.47,3.04,3.0,3.56,9
9.43,3.47,3.04,3.0,3.56,10
8.11,3.47,3.04,3.0,3.56,9
6.49,3.47,3.04,3.0,3.56,6
8.37,3.47,3.04,3.0,3.56,9
7.03,3.47,3.04,3.0,3.56,7
7.63,3.47,3.04,3.0,3.56,8
7.13,3.47,3.04,3.0,3.56,8
7.22,3.47,3.04,3.0,3.56,8
8.81,3.47,3.04,3.0,3.56,10
7.9,3.47,3.04,3.0,3.56,8
8.57,3.47,3.04,3.0,3.56,9
8.31,3.47,3.04,3.0,3.56,9
8.2,3.47,3.04,3.0,3.56,9
7.13,3.47,3.04,3.0,3.56,9
5.9,3.47,3.04,3.0,3.56,6
7.44,3.47,3.04,3.0,3.56,8
8.56,3.47,3.04,3.0,3.56,9
8.48,3.47,3.04,3.0,3.56,9
7.05,3.47,3.04,3.0,3.56,8
6.16,3.47,3.04,3.0,3.56,6
8.11,3.47,3.04,3.0,3.56,9
6.32,3.47,3.04,3.0,3.56,6
9.19,3.47,3.04,3.0,3.56,10
6.86,3.47,3.04,3.0,3.56,8
8.29,3.47,3.04,3.0,3.56,8
6.52,3.47,3.04,3.0,3.56,7
9.16,1.53,4.58,4.0,2.05,8
8.63,1.53,4.58,4.0,2.05,8
6.79,1.53,4.58,4.0,2.05,5
5.99,1.53,4.58,4.0,2.05,4
7.55,1.53,4.58,4.0,2.05,7
8.47,1.53,4.58,4.0,2.05,8
8.64,1.53,4.58,4.0,2.05,7
8.29,1.53,4.58,4.0,2.05,7
9.24,1.53,4.58,4.0,2.05,8
8.67,1.53,4.58,4.0,2.05,8
6.35,1.53,4.58,4.0,2.05,5
7.98,1.53,4.58,4.0,2.05,7
6.61,1.53,4.58,4.0,2.05,5
8.64,1.53,4.58,4.0,2.05,7
8.4,1.53,4.58,4.0,2.05,7
7.91,1.53,4.58,4.0,2.05,6
8.47,1.53,4.58,4.0,2.05,6
6.84,1.53,4.58,4.0,2.05,5
6.03,1.53,4.58,4.0,2.05,4
7.5,1.5,4.51,4.0,2.04,7
8.53,1.5,4.51,4.0,2.04,7
8.41,1.5,4.51,4.0,2.04,7
7.77,1.5,4.51,4.0,2.04,6
6.36,1.5,4.51,4.0,2.04,5
7.31,1.5,4.51,4.0,2.04,5
8.33,1.5,4.51,4.0,2.04,7
6.84,1.5,4.51,4.0,2.04,6
8.86,1.5,4.51,4.0,2.04,7
7.86,1.5,4.51,4.0,2.04,6
7.33,1.5,4.51,4.0,2.04,6
7.48,1.5,4.51,4.0,2.04,6
6.45,1.5,4.51,4.0,2.04,4
7.93,1.5,4.51,4.0,2.04,7
6.37,1.5,4.51,4.0,2.04,5
8.03,1.5,4.51,4.0,2.04,7
7.8,1.5,4.51,4.0,2.04,7
7.16,1.5,4.51,4.0,2.04,6
6.38,1.5,4.51,4.0,2.04,4
8.78,1.5,4.51,4.0,2.04,8
7.17,1.5,4.51,4.0,2.04,6
8.61,1.5,4.51,4.0,2.04,8
6.68,1.5,4.51,4.0,2.04,5
7.8,1.5,4.51,4.0,2.04,7
7.49,1.5,4.51,4.0,2.04,6
7.69,1.5,4.51,4.0,2.04,7
8.4,1.5,4.51,4.0,2.04,7
6.62,1.5,4.51,4.0,2.04,6
4.96,1.5,4.51,4.0,2.04,3
7.7,1.5,4.51,4.0,2.04,6
8.18,1.5,4.51,4.0,2.04,6
7.82,1.5,4.51,4.0,2.04,7
8.41,1.5,4.51,4.0,2.04,8
6.51,1.5,4.51,4.0,2.04,5
8.5,1.5,4.51,4.0,2.04,7
6.88,1.5,4.51,4.0,2.04,5
7.63,1.5,4.51,4.0,2.04,6
8.92,1.5,4.51,4.0,2.04,8
7.68,1.5,4.51,4.0,2.04,6
7.31,1.5,4.51,4.0,2.04,6
8.63,1.5,4.51,4.0,2.04,8
7.51,1.5,4.51,4.0,2.04,6
7.66,1.5,4.51,4.0,2.04,6
8.1,1.5,4.51,4.0,2.04,7
7.88,1.5,4.51,4.0,2.04,6
7.68,1.5,4.51,4.0,2.04,6
8.24,1.5,4.51,4.0,2.04,7
6.97,1.5,4.51,4.0,2.04,6
5.91,1.5,4.51,4.0,2.04,3
8.89,1.5,4.51,4.0,2.04,8
8.01,1.5,4.51,4.0,2.04,7
6.49,1.5,4.51,4.0,2.04,5
8.95,1.5,4.51,4.0,2.04,8
8.08,1.5,4.51,4.0,2.04,6
6.97,1.5,4.51,4.0,2.04,6
7.99,1.5,4.51,4.0,2.04,6
7.97,1.5,4.51,4.0,2.04,7
7.36,1.5,4.51,4.0,2.04,6
7.88,1.5,4.51,4.0,2.04,7
7.31,1.5,4.51,4.0,2.04,6
5.63,1.5,4.51,4.0,2.04,4
7.3,1.5,4.51,4.0,2.04,6
6.25,1.5,4.51,4.0,2.04,4
7.71,1.5,4.51,4.0,2.04,5
8.62,1.5,4.51,4.0,2.04,8
6.59,1.5,4.51,4.0,2.04,5
6.26,1.5,4.51,4.0,2.04,5
6.45,1.5,4.51,4.0,2.04,5
7.45,3.49,2.98,3.0,3.55,8
8.33,3.49,2.98,3.0,3.55,9
6.62,3.49,2.98,3.0,3.55,7
8.83,3.49,2.98,3.0,3.55,9
6.3,3.49,2.98,3.0,3.55,7
9.0,3.49,2.98,3.0,3.55,10
7.69,3.49,2.98,3.0,3.55,8
8.73,3.49,2.98,3.0,3.55,9
8.54,3.49,2.98,3.0,3.55,10
8.11,3.49,2.98,3.0,3.55,8
8.0,3.49,2.98,3.0,3.55,8
8.43,3.49,2.98,3.0,3.55,9
7.03,3.49,2.98,3.0,3.55,7
7.24,3.49,2.98,3.0,3.55,7
7.55,3.49,2.98,3.0,3.55,8
6.95,3.49,2.98,3.0,3.55,7
8.21,3.49,2.98,3.0,3.55,9
7.32,3.49,2.98,3.0,3.55,8
7.76,3.49,2.98,3.0,3.55,8
7.94,3.49,2.98,3.0,3.55,9
8.86,3.49,2.98,3.0,3.55,9
7.04,3.49,2.98,3.0,3.55,8
7.99,3.49,2.98,3.0,3.55,8
7.42,3.49,2.98,3.0,3.55,8
6.02,3.49,2.98,3.0,3.55,6
7.56,3.49,2.98,3.0,3.55,8
7.16,3.49,2.98,3.0,3.55,8
7.39,3.49,2.98,3.0,3.55,8
8.0,3.49,2.98,3.0,3.55,9
8.01,3.49,2.98,3.0,3.55,9
7.51,3.49,2.98,3.0,3.55,8
7.39,3.49,2.98,3.0,3.55,8
7.55,3.49,2.98,3.0,3.55,8
6.22,3.49,2.98,3.0,3.55,7
6.2,3.49,2.98,3.0,3.55,6
6.77,3.49,2.98,3.0,3.55,7
8.36,3.49,2.98,3.0,3.55,9
7.54,3.49,2.98,3.0,3.55,8
8.48,3.49,2.98,3.0,3.55,9
6.53,3.49,2.98,3.0,3.55,7
7.15,3.49,2.98,3.0,3.55,7
8.7,3.49,2.98,3.0,3.55,9
7.01,3.49,2.98,3.0,3.55,7
6.26,3.49,2.98,3.0,3.55,7
9.1,3.49,2.98,3.0,3.55,9
8.35,3.49,2.98,3.0,3.55,9
7.81,3.49,2.98,3.0,3.55,8
7.98,3.49,2.98,3.0,3.55,9
6.47,3.49,2.98,3.0,3.55,7
6.3,3.49,2.98,3.0,3.55,6
8.16,3.49,2.98,3.0,3.55,9
8.21,3.49,2.98,3.0,3.55,8
6.93,3.49,2.98,3.0,3.55,7
7.69,3.49,2.98,3.0,3.55,8
6.85,3.49,2.98,3.0,3.55,8
5.92,3.49,2.98,3.0,3.55,5
6.25,3.49,2.98,3.0,3.55,6
8.75,3.49,2.98,3.0,3.55,9
7.21,3.49,2.98,3.0,3.55,7
8.6,3.49,2.98,3.0,3.55,9
7.7,3.49,2.98,3.0,3.55,7
8.1,3.49,2.98,3.0,3.55,8
6.54,3.49,2.98,3.0,3.55,6
7.42,3.49,2.98,3.0,3.55,8
9.35,3.49,2.98,3.0,3.55,10
8.82,3.49,2.98,3.0,3.55,9
9.52,3.49,2.98,3.0,3.55,10
6.65,3.49,2.98,3.0,3.55,6
7.85,3.49,2.98,3.0,3.55,8
7.35,3.49,2.98,3.0,3.55,7
6.51,3.49,2.98,3.0,3.55,7
7.76,3.49,2.98,3.0,3.55,7
7.44,3.49,2.98,3.0,3.55,7
7.4,3.49,2.98,3.0,3.55,7
9.3,3.49,2.98,3.0,3.55,10
7.53,3.49,2.98,3.0,3.55,8
5.9,3.49,2.98,3.0,3.55,6
7.7,3.49,2.98,3.0,3.55,8
7.18,3.49,2.98,3.0,3.55,8
8.92,3.49,2.98,3.0,3.55,10
6.97,3.49,2.98,3.0,3.55,6
5.91,3.49,2.98,3.0,3.55,6
8.15,3.49,2.98,3.0,3.55,8
8.87,3.49,2.98,3.0,3.55,10
9.07,3.49,2.98,3.0,3.55,10
6.94,3.49,2.98,3.0,3.55,7
8.08,3.49,2.98,3.0,3.55,8
8.42,3.49,2.98,3.0,3.55,9
8.39,3.49,2.98,3.0,3.55,9
8.89,3.49,2.98,3.0,3.55,9
7.43,3.49,2.98,3.0,3.55,8
7.46,3.49,2.98,3.0,3.55,7
7.42,3.49,2.98,3.0,3.55,7
6.64,3.49,2.98,3.0,3.55,6
9.3,3.49,2.98,3.0,3.55,10
9.01,3.49,2.98,3.0,3.55,10
7.99,3.49,2.98,3.0,3.55,9
6.85,3.49,2.98,3.0,3.55,8
7.23,3.49,2.98,3.0,3.55,7
8.0,3.49,2.98,3.0,3.55,7
7.43,3.49,2.98,3.0,3.55,8
8.29,3.49,2.98,3.0,3.55,9
6.5,3.49,2.98,3.0,3.55,7
7.8,3.49,2.98,3.0,3.55,9
7.2,3.49,2.98,3.0,3.55,8
6.91,3.49,2.98,3.0,3.55,7
5.41,3.49,2.98,3.0,3.55,5
8.03,3.49,2.98,3.0,3.55,8
7.2,3.49,2.98,3.0,3.55,7
8.01,3.49,2.98,3.0,3.55,8
7.84,3.49,2.98,3.0,3.55,8
7.08,3.49,2.98,3.0,3.55,7
7.78,3.49,2.98,3.0,3.55,8
6.54,3.49,2.98,3.0,3.55,7
7.63,3.49,2.98,3.0,3.55,8
7.65,3.49,2.98,3.0,3.55,8
8.17,3.49,2.98,3.0,3.55,9
6.7,3.49,2.98,3.0,3.55,7
9.07,3.49,2.98,3.0,3.55,10
6.73,3.49,2.98,3.0,3.55,8
6.82,3.49,2.98,3.0,3.55,7
6.88,3.49,2.98,3.0,3.55,8
6.95,3.49,2.98,3.0,3.55,7
8.5,3.49,2.98,3.0,3.55,9
7.71,3.49,2.98,3.0,3.55,8
6.71,3.49,2.98,3.0,3.55,7
7.78,3.49,2.98,3.0,3.55,8
8.46,3.49,2.98,3.0,3.55,9
8.21,3.49,2.98,3.0,3.55,9
8.67,3.49,2.98,3.0,3.55,9
8.8,3.49,2.98,3.0,3.55,9
7.87,3.49,2.98,3.0,3.55,9
6.63,3.49,2.98,3.0,3.55,7
8.28,3.49,2.98,3.0,3.55,8
8.66,3.49,2.98,3.0,3.55,10
7.62,3.49,2.98,3.0,3.55,8
8.37,3.49,2.98,3.0,3.55,9
7.9,3.49,2.98,3.0,3.55,8
7.69,3.49,2.98,3.0,3.55,9
9.29,3.49,2.98,3.0,3.55,10
6.08,3.49,2.98,3.0,3.55,6
9.3,3.49,2.98,3.0,3.55,10
7.17,3.49,2.98,3.0,3.55,8
5.84,3.49,2.98,3.0,3.55,5
8.08,3.49,2.98,3.0,3.55,8
6.08,3.49,2.98,3.0,3.55,7
8.24,3.49,2.98,3.0,3.55,9
6.12,3.49,2.98,3.0,3.55,7
8.04,3.49,2.98,3.0,3.55,8
6.4,3.49,2.98,3.0,3.55,7
7.76,3.49,2.98,3.0,3.55,8
6.83,3.49,2.98,3.0,3.55,7
6.96,3.49,2.98,3.0,3.55,7
6.88,3.49,2.98,3.0,3.55,7
8.96,3.49,2.98,3.0,3.55,10
7.96,3.49,2.98,3.0,3.55,8
6.65,3.49,2.98,3.0,3.55,7
6.96,3.49,2.98,3.0,3.55,7
7.05,3.49,2.98,3.0,3.55,7
8.56,3.49,2.98,3.0,3.55,9
7.0,3.83,3.06,3.0,3.83,8
7.0,3.83,3.06,3.0,3.83,7
6.39,3.83,3.06,3.0,3.83,7
6.38,3.83,3.06,3.0,3.83,7
7.49,3.83,3.06,3.0,3.83,8
8.5,3.83,3.06,3.0,3.83,9
7.31,3.83,3.06,3.0,3.83,8
8.24,3.83,3.06,3.0,3.83,10
8.39,3.83,3.06,3.0,3.83,9
8.87,3.83,3.06,3.0,3.83,9
7.55,3.83,3.06,3.0,3.83,10
6.26,3.83,3.06,3.0,3.83,7
8.89,3.83,3.06,3.0,3.83,9
6.49,3.83,3.06,3.0,3.83,7
9.27,3.83,3.06,3.0,3.83,9
6.97,3.83,3.06,3.0,3.83,7
